type,latitude,longitude,altitude
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.20
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.30
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
T,40.0073,-105.2619,1653.40
